#	nvpUnmod100	nvpUnmod0	nvpNVP100	nvpNVP0	
4	1246.22	17845.9	20025.4	26014.8	
16	1130.82	17199.4	20155.5	26010.3	
64	1058.41	15910.1	19492.2	25905.8	
256	977.598	11868.4	20253.8	25877.6	
1024	971.137	12593.1	20515.1	25735	
4096	960.168	12982.8	19976.3	25712.3	
16384	913.066	7403.16	18728.6	19813.2	
65536	914.988	5795.31	12437.2	14250	
262144	914.09	5605.16	11804.9	12943.2	
1048576	899.246	5746.37	11508.2	12454.6	
4194304	879.766	5661.09	11806.3	11721.8	
16777216	853.027	4063.12	11449.7	12728.7	
57671680	833.043	3218.86	12586.6	16512.4	
